"driver","championships","race_entries","championship_efficiency"
"Juan Manuel Fangio",5,52,"9.62"
"Alberto Ascari",2,33,"6.06"
"Jackie Stewart",3,100,"3.00"
"Nino Farina",1,34,"2.94"
"Jim Clark",2,73,"2.74"
"Jack Brabham",3,128,"2.34"
"Michael Schumacher",7,308,"2.27"
"Lewis Hamilton",7,311,"2.25"
"Mike Hawthorn",1,47,"2.13"
"Alain Prost",4,202,"1.98"
"Phil Hill",1,52,"1.92"
"Ayrton Senna",3,162,"1.85"
"Niki Lauda",3,177,"1.69"
"Jochen Rindt",1,62,"1.61"
"Nelson Piquet",3,207,"1.45"
"Emerson Fittipaldi",2,149,"1.34"
"Sebastian Vettel",4,300,"1.33"
"Max Verstappen",2,164,"1.22"
"Mika Häkkinen",2,165,"1.21"
"Graham Hill",2,179,"1.12"
"James Hunt",1,93,"1.08"
"Denny Hulme",1,112,"0.89"
"Jody Scheckter",1,113,"0.88"
"John Surtees",1,113,"0.88"
"Alan Jones",1,117,"0.85"
"Damon Hill",1,122,"0.82"
"Keke Rosberg",1,128,"0.78"
"Mario Andretti",1,131,"0.76"
"Jacques Villeneuve",1,165,"0.61"
"Fernando Alonso",2,359,"0.56"
"Nigel Mansell",1,191,"0.52"
"Nico Rosberg",1,206,"0.49"
"Jenson Button",1,309,"0.32"
"Kimi Räikkönen",1,353,"0.28"
